Fund Holdings as of,"27 mar. 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ASML","ASML HOLDING NV","Tecnologia de informação","Equity","550 769 537,60","3,93","550 769 537,60","480 434,00","1 146,40","Holanda","Euronext Amsterdam","EUR"
"AZN","ASTRAZENECA PLC","Cuidados de saúde","Equity","316 729 721,16","2,26","316 729 721,16","1 919 650,00","164,99","Reino Unido","London Stock Exchange","GBP"
"NOVN","NOVARTIS AG","Cuidados de saúde","Equity","305 341 519,89","2,18","305 341 519,89","2 353 195,00","129,76","Suíça","SIX Swiss Exchange","CHF"
"ROP","ROCHE PS PAR AG","Cuidados de saúde","Equity","295 967 074,02","2,11","295 967 074,02","869 607,00","340,35","Suíça","SIX Swiss Exchange","CHF"
"HSBA","HSBC HOLDINGS PLC","Produtos financeiros","Equity","293 150 011,51","2,09","293 150 011,51","21 175 744,00","13,84","Reino Unido","London Stock Exchange","GBP"
"SHEL","SHELL PLC","Energia","Equity","283 377 179,24","2,02","283 377 179,24","7 054 498,00","40,17","Reino Unido","London Stock Exchange","GBP"
"NESN","NESTLE SA","Bens de primeira necessidade","Equity","265 254 260,31","1,89","265 254 260,31","3 189 108,00","83,18","Suíça","SIX Swiss Exchange","CHF"
"TTE","TOTALENERGIES","Energia","Equity","192 935 405,61","1,38","192 935 405,61","2 458 089,00","78,49","França","Nyse Euronext - Euronext Paris","EUR"
"SIE","SIEMENS N AG","Bens Industriais","Equity","192 748 610,40","1,37","192 748 610,40","940 696,00","204,90","Alemanha","Xetra","EUR"
"SAP","SAP","Tecnologia de informação","Equity","184 259 085,12","1,31","184 259 085,12","1 292 502,00","142,56","Alemanha","Xetra","EUR"
"SAN","BANCO SANTANDER SA","Produtos financeiros","Equity","171 928 300,31","1,23","171 928 300,31","18 286 354,00","9,40","Espanha","Bolsa De Madrid","EUR"
"ALV","ALLIANZ","Produtos financeiros","Equity","166 432 922,70","1,19","166 432 922,70","474 303,00","350,90","Alemanha","Xetra","EUR"
"SU","SCHNEIDER ELECTRIC","Bens Industriais","Equity","155 539 474,80","1,11","155 539 474,80","678 619,00","229,20","França","Nyse Euronext - Euronext Paris","EUR"
"IBE","IBERDROLA SA","Serviços públicos","Equity","152 828 391,38","1,09","152 828 391,38","7 991 027,00","19,13","Espanha","Bolsa De Madrid","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Comunicação","Equity","144 301 936,12","1,03","144 301 936,12","4 553 548,00","31,69","Alemanha","Xetra","EUR"
"MC","LVMH","Consumo discricionário","Equity","139 984 979,75","1,00","139 984 979,75","307 153,00","455,75","França","Nyse Euronext - Euronext Paris","EUR"
"ULVR","UNILEVER PLC","Bens de primeira necessidade","Equity","139 484 745,27","1,00","139 484 745,27","2 699 151,00","51,68","Reino Unido","London Stock Exchange","GBP"
"ENR","SIEMENS ENERGY N AG","Bens Industriais","Equity","138 516 566,40","0,99","138 516 566,40","959 256,00","144,40","Alemanha","Xetra","EUR"
"BATS","BRITISH AMERICAN TOBACCO","Bens de primeira necessidade","Equity","134 946 117,00","0,96","134 946 117,00","2 688 446,00","50,19","Reino Unido","London Stock Exchange","GBP"
"ABBN","ABB LTD","Bens Industriais","Equity","133 306 343,06","0,95","133 306 343,06","1 938 545,00","68,77","Suíça","SIX Swiss Exchange","CHF"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Bens Industriais","Equity","132 628 735,66","0,95","132 628 735,66","10 371 270,00","12,79","Reino Unido","London Stock Exchange","GBP"
"BP.","BP PLC","Energia","Equity","130 830 606,88","0,93","130 830 606,88","19 415 660,00","6,74","Reino Unido","London Stock Exchange","GBP"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Produtos financeiros","Equity","126 817 378,74","0,90","126 817 378,74","7 080 814,00","17,91","Espanha","Bolsa De Madrid","EUR"
"UBSG","UBS GROUP AG","Produtos financeiros","Equity","125 727 397,12","0,90","125 727 397,12","3 929 233,00","32,00","Suíça","SIX Swiss Exchange","CHF"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materiais","Equity","124 021 499,84","0,88","124 021 499,84","717 136,00","172,94","França","Nyse Euronext - Euronext Paris","EUR"
"SAF","SAFRAN SA","Bens Industriais","Equity","123 152 188,80","0,88","123 152 188,80","442 357,00","278,40","França","Nyse Euronext - Euronext Paris","EUR"
"NOVO B","NOVO NORDISK CLASS B","Cuidados de saúde","Equity","121 895 153,20","0,87","121 895 153,20","3 986 318,00","30,58","Dinamarca","Omx Nordic Exchange Copenhagen A/S","DKK"
"GSK","GLAXOSMITHKLINE","Cuidados de saúde","Equity","118 673 825,46","0,85","118 673 825,46","5 020 454,00","23,64","Reino Unido","London Stock Exchange","GBP"
"AIR","AIRBUS GROUP","Bens Industriais","Equity","117 987 305,80","0,84","117 987 305,80","735 490,00","160,42","França","Nyse Euronext - Euronext Paris","EUR"
"SAN","SANOFI SA","Cuidados de saúde","Equity","111 549 936,69","0,80","111 549 936,69","1 360 531,00","81,99","França","Nyse Euronext - Euronext Paris","EUR"
"ZURN","ZURICH INSURANCE GROUP AG","Produtos financeiros","Equity","108 080 538,12","0,77","108 080 538,12","181 157,00","596,62","Suíça","SIX Swiss Exchange","CHF"
"RIO","RIO TINTO PLC","Materiais","Equity","105 499 787,52","0,75","105 499 787,52","1 397 243,00","75,51","Reino Unido","London Stock Exchange","GBP"
"UCG","UNICREDIT","Produtos financeiros","Equity","104 494 045,10","0,75","104 494 045,10","1 735 205,00","60,22","Itália","Borsa Italiana","EUR"
"OR","LOREAL SA","Bens de primeira necessidade","Equity","104 097 700,00","0,74","104 097 700,00","297 422,00","350,00","França","Nyse Euronext - Euronext Paris","EUR"
"BNP","BNP PARIBAS SA","Produtos financeiros","Equity","101 236 812,32","0,72","101 236 812,32","1 248 604,00","81,08","França","Nyse Euronext - Euronext Paris","EUR"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumo discricionário","Equity","100 043 055,43","0,71","100 043 055,43","665 396,00","150,35","Suíça","SIX Swiss Exchange","CHF"
"ENEL","ENEL","Serviços públicos","Equity","92 237 757,55","0,66","92 237 757,55","10 085 038,00","9,15","Itália","Borsa Italiana","EUR"
"ISP","INTESA SANPAOLO","Produtos financeiros","Equity","89 221 795,63","0,64","89 221 795,63","17 501 333,00","5,10","Itália","Borsa Italiana","EUR"
"BA.","BAE SYSTEMS PLC","Bens Industriais","Equity","87 902 960,23","0,63","87 902 960,23","3 686 320,00","23,85","Reino Unido","London Stock Exchange","GBP"
"NG.","NATIONAL GRID PLC","Serviços públicos","Equity","87 755 333,44","0,63","87 755 333,44","6 151 902,00","14,26","Reino Unido","London Stock Exchange","GBP"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Produtos financeiros","Equity","83 923 195,00","0,60","83 923 195,00","160 465,00","523,00","Alemanha","Xetra","EUR"
"SPOT","SPOTIFY TECHNOLOGY SA","Comunicação","Equity","78 870 386,53","0,56","78 870 386,53","192 310,00","410,12","Suécia","New York Stock Exchange Inc.","USD"
"RHM","RHEINMETALL AG","Bens Industriais","Equity","78 551 489,00","0,56","78 551 489,00","56 942,00","1 379,50","Alemanha","Xetra","EUR"
"CS","AXA SA","Produtos financeiros","Equity","78 551 756,25","0,56","78 551 756,25","2 069 875,00","37,95","França","Nyse Euronext - Euronext Paris","EUR"
"INGA","ING GROEP NV","Produtos financeiros","Equity","78 509 893,92","0,56","78 509 893,92","3 614 636,00","21,72","Holanda","Euronext Amsterdam","EUR"
"GLEN","GLENCORE PLC","Materiais","Equity","77 846 469,03","0,56","77 846 469,03","12 533 255,00","6,21","Reino Unido","London Stock Exchange","GBP"
"DG","VINCI SA","Bens Industriais","Equity","76 716 339,70","0,55","76 716 339,70","608 377,00","126,10","França","Nyse Euronext - Euronext Paris","EUR"
"LLOY","LLOYDS BANKING GROUP PLC","Produtos financeiros","Equity","76 044 754,72","0,54","76 044 754,72","72 885 094,00","1,04","Reino Unido","London Stock Exchange","GBP"
"BARC","BARCLAYS PLC","Produtos financeiros","Equity","75 751 302,19","0,54","75 751 302,19","17 180 248,00","4,41","Reino Unido","London Stock Exchange","GBP"
"EL","ESSILORLUXOTTICA SA","Cuidados de saúde","Equity","72 674 620,40","0,52","72 674 620,40","373 073,00","194,80","França","Nyse Euronext - Euronext Paris","EUR"
"ABI","ANHEUSER-BUSCH INBEV SA","Bens de primeira necessidade","Equity","72 367 491,04","0,52","72 367 491,04","1 226 152,00","59,02","Bélgica","Nyse Euronext - Euronext Brussels","EUR"
"INVE B","INVESTOR CLASS B","Produtos financeiros","Equity","71 064 510,22","0,51","71 064 510,22","2 240 964,00","31,71","Suécia","Nasdaq Omx Nordic","SEK"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Consumo discricionário","Equity","66 841 681,50","0,48","66 841 681,50","1 350 337,00","49,50","Espanha","Bolsa De Madrid","EUR"
"RMS","HERMES INTERNATIONAL","Consumo discricionário","Equity","63 559 557,00","0,45","63 559 557,00","39 198,00","1 621,50","França","Nyse Euronext - Euronext Paris","EUR"
"PRX","PROSUS NV CLASS N","Consumo discricionário","Equity","62 255 680,96","0,44","62 255 680,96","1 607 843,00","38,72","Holanda","Euronext Amsterdam","EUR"
"REL","RELX PLC","Bens Industriais","Equity","62 071 170,73","0,44","62 071 170,73","2 248 419,00","27,61","Reino Unido","London Stock Exchange","GBP"
"NWG","NATWEST GROUP PLC","Produtos financeiros","Equity","61 521 241,22","0,44","61 521 241,22","9 879 210,00","6,23","Reino Unido","London Stock Exchange","GBP"
"ENGI","ENGIE SA","Serviços públicos","Equity","60 653 695,61","0,43","60 653 695,61","2 260 667,00","26,83","França","Nyse Euronext - Euronext Paris","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Tecnologia de informação","Equity","60 285 843,47","0,43","60 285 843,47","1 610 629,00","37,43","Alemanha","Xetra","EUR"
"ENI","ENI","Energia","Equity","60 184 174,88","0,43","60 184 174,88","2 515 535,00","23,93","Itália","Borsa Italiana","EUR"
"BAS","BASF N","Materiais","Equity","57 554 765,80","0,41","57 554 765,80","1 104 698,00","52,10","Alemanha","Xetra","EUR"
"DBK","DEUTSCHE BANK AG","Produtos financeiros","Equity","56 889 964,23","0,41","56 889 964,23","2 283 362,00","24,91","Alemanha","Xetra","EUR"
"DB1","DEUTSCHE BOERSE AG","Produtos financeiros","Equity","55 201 906,30","0,39","55 201 906,30","231 067,00","238,90","Alemanha","Xetra","EUR"
"NDA FI","NORDEA BANK","Produtos financeiros","Equity","55 194 910,65","0,39","55 194 910,65","3 862 485,00","14,29","Finlândia","Nasdaq Omx Helsinki Ltd.","EUR"
"VOLV B","VOLVO CLASS B","Bens Industriais","Equity","54 186 750,78","0,39","54 186 750,78","1 966 955,00","27,55","Suécia","Nasdaq Omx Nordic","SEK"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Produtos financeiros","Equity","53 968 062,04","0,38","53 968 062,04","567 314,00","95,13","Reino Unido","London Stock Exchange","GBP"
"BN","DANONE SA","Bens de primeira necessidade","Equity","53 571 047,08","0,38","53 571 047,08","797 663,00","67,16","França","Nyse Euronext - Euronext Paris","EUR"
"GLE","SOCIETE GENERALE SA","Produtos financeiros","Equity","53 205 181,20","0,38","53 205 181,20","854 290,00","62,28","França","Nyse Euronext - Euronext Paris","EUR"
"SREN","SWISS RE AG","Produtos financeiros","Equity","51 524 227,85","0,37","51 524 227,85","368 018,00","140,01","Suíça","SIX Swiss Exchange","CHF"
"EOAN","E.ON N","Serviços públicos","Equity","51 091 845,90","0,36","51 091 845,90","2 755 020,00","18,55","Alemanha","Xetra","EUR"
"DHL","DEUTSCHE POST AG","Bens Industriais","Equity","50 296 820,70","0,36","50 296 820,70","1 138 710,00","44,17","Alemanha","Xetra","EUR"
"DSV","DSV","Bens Industriais","Equity","50 197 295,01","0,36","50 197 295,01","250 487,00","200,40","Dinamarca","Omx Nordic Exchange Copenhagen A/S","DKK"
"CPG","COMPASS GROUP PLC","Consumo discricionário","Equity","49 483 387,20","0,35","49 483 387,20","2 104 676,00","23,51","Reino Unido","London Stock Exchange","GBP"
"CABK","CAIXABANK SA","Produtos financeiros","Equity","48 821 533,20","0,35","48 821 533,20","4 857 864,00","10,05","Espanha","Bolsa De Madrid","EUR"
"ATCO A","ATLAS COPCO CLASS A","Bens Industriais","Equity","48 531 915,70","0,35","48 531 915,70","3 300 139,00","14,71","Suécia","Nasdaq Omx Nordic","SEK"
"AAL","ANGLO AMERICAN PLC","Materiais","Equity","48 520 694,39","0,35","48 520 694,39","1 374 022,00","35,31","Reino Unido","London Stock Exchange","GBP"
"RKT","RECKITT BENCKISER GROUP PLC","Bens de primeira necessidade","Equity","47 644 605,15","0,34","47 644 605,15","799 756,00","59,57","Reino Unido","London Stock Exchange","GBP"
"LONN","LONZA GROUP AG","Cuidados de saúde","Equity","47 264 407,45","0,34","47 264 407,45","88 242,00","535,62","Suíça","SIX Swiss Exchange","CHF"
"HLN","HALEON PLC","Cuidados de saúde","Equity","46 973 473,92","0,34","46 973 473,92","11 097 751,00","4,23","Reino Unido","London Stock Exchange","GBP"
"BAYN","BAYER AG","Cuidados de saúde","Equity","46 684 086,80","0,33","46 684 086,80","1 220 180,00","38,26","Alemanha","Xetra","EUR"
"ARGX","ARGENX","Cuidados de saúde","Equity","46 525 017,80","0,33","46 525 017,80","76 597,00","607,40","Bélgica","Nyse Euronext - Euronext Brussels","EUR"
"MBG","MERCEDES-BENZ GROUP N AG","Consumo discricionário","Equity","46 149 682,02","0,33","46 149 682,02","893 854,00","51,63","Alemanha","Xetra","EUR"
"HOLN","HOLCIM LTD AG","Materiais","Equity","44 793 616,12","0,32","44 793 616,12","633 335,00","70,73","Suíça","SIX Swiss Exchange","CHF"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Bens de primeira necessidade","Equity","44 693 759,39","0,32","44 693 759,39","1 123 241,00","39,79","Holanda","Euronext Amsterdam","EUR"
"NOKIA","NOKIA","Tecnologia de informação","Equity","44 573 687,50","0,32","44 573 687,50","6 491 944,00","6,87","Finlândia","Nasdaq Omx Helsinki Ltd.","EUR"
"DGE","DIAGEO PLC","Bens de primeira necessidade","Equity","44 200 692,65","0,32","44 200 692,65","2 731 846,00","16,18","Reino Unido","London Stock Exchange","GBP"
"SSE","SSE PLC","Serviços públicos","Equity","43 205 137,66","0,31","43 205 137,66","1 508 911,00","28,63","Reino Unido","London Stock Exchange","GBP"
"RACE","FERRARI NV","Consumo discricionário","Equity","43 032 694,10","0,31","43 032 694,10","154 627,00","278,30","Itália","Borsa Italiana","EUR"
"RWE","RWE AG","Serviços públicos","Equity","42 621 790,92","0,30","42 621 790,92","779 762,00","54,66","Alemanha","Xetra","EUR"
"TSCO","TESCO PLC","Bens de primeira necessidade","Equity","42 431 028,94","0,30","42 431 028,94","8 002 645,00","5,30","Reino Unido","London Stock Exchange","GBP"
"STAN","STANDARD CHARTERED PLC","Produtos financeiros","Equity","42 423 212,55","0,30","42 423 212,55","2 395 660,00","17,71","Reino Unido","London Stock Exchange","GBP"
"SAND","SANDVIK","Bens Industriais","Equity","41 972 470,29","0,30","41 972 470,29","1 326 449,00","31,64","Suécia","Nasdaq Omx Nordic","SEK"
"LR","LEGRAND SA","Bens Industriais","Equity","41 504 388,90","0,30","41 504 388,90","322 114,00","128,85","França","Nyse Euronext - Euronext Paris","EUR"
"ORA","ORANGE SA","Comunicação","Equity","39 493 045,50","0,28","39 493 045,50","2 282 835,00","17,30","França","Nyse Euronext - Euronext Paris","EUR"
"ALC","ALCON AG","Cuidados de saúde","Equity","39 161 225,17","0,28","39 161 225,17","608 825,00","64,32","Suíça","SIX Swiss Exchange","CHF"
"UCB","UCB SA","Cuidados de saúde","Equity","39 161 556,00","0,28","39 161 556,00","155 403,00","252,00","Bélgica","Nyse Euronext - Euronext Brussels","EUR"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Bens Industriais","Equity","37 892 620,80","0,27","37 892 620,80","548 215,00","69,12","França","Nyse Euronext - Euronext Paris","EUR"
"PRU","PRUDENTIAL PLC","Produtos financeiros","Equity","37 704 296,45","0,27","37 704 296,45","3 154 722,00","11,95","Reino Unido","London Stock Exchange","GBP"
"ASSA B","ASSA ABLOY B","Bens Industriais","Equity","37 648 927,87","0,27","37 648 927,87","1 240 558,00","30,35","Suécia","Nasdaq Omx Nordic","SEK"
"ASM","ASM INTERNATIONAL NV","Tecnologia de informação","Equity","37 497 331,00","0,27","37 497 331,00","57 635,00","650,60","Holanda","Euronext Amsterdam","EUR"
"GALD","GALDERMA GROUP N AG","Cuidados de saúde","Equity","37 161 476,10","0,27","37 161 476,10","228 082,00","162,93","Suíça","SIX Swiss Exchange","CHF"
"G","ASSICURAZIONI GENERALI","Produtos financeiros","Equity","35 335 845,44","0,25","35 335 845,44","1 054 172,00","33,52","Itália","Borsa Italiana","EUR"
"REP","REPSOL SA","Energia","Equity","35 290 952,60","0,25","35 290 952,60","1 466 180,00","24,07","Espanha","Bolsa De Madrid","EUR"
"FER","FERROVIAL","Bens Industriais","Equity","34 748 564,52","0,25","34 748 564,52","635 722,00","54,66","Espanha","Bolsa De Madrid","EUR"
"SDZ","SANDOZ GROUP AG","Cuidados de saúde","Equity","34 089 601,99","0,24","34 089 601,99","517 364,00","65,89","Suíça","SIX Swiss Exchange","CHF"
"IMB","IMPERIAL BRANDS PLC","Bens de primeira necessidade","Equity","33 933 254,30","0,24","33 933 254,30","956 556,00","35,47","Reino Unido","London Stock Exchange","GBP"
"ERIC B","ERICSSON B","Tecnologia de informação","Equity","33 912 186,62","0,24","33 912 186,62","3 485 116,00","9,73","Suécia","Nasdaq Omx Nordic","SEK"
"DANSKE","DANSKE BANK","Produtos financeiros","Equity","33 899 377,04","0,24","33 899 377,04","840 745,00","40,32","Dinamarca","Omx Nordic Exchange Copenhagen A/S","DKK"
"EQNR","EQUINOR","Energia","Equity","33 848 213,40","0,24","33 848 213,40","944 836,00","35,82","Noruega","Oslo Bors Asa","NOK"
"EBS","ERSTE GROUP BANK AG","Produtos financeiros","Equity","33 827 223,40","0,24","33 827 223,40","371 116,00","91,15","Áustria","Wiener Boerse Ag","EUR"
"III","3I GROUP PLC","Produtos financeiros","Equity","32 772 087,74","0,23","32 772 087,74","1 222 883,00","26,80","Reino Unido","London Stock Exchange","GBP"
"PRY","PRYSMIAN","Bens Industriais","Equity","32 761 098,00","0,23","32 761 098,00","348 300,00","94,06","Itália","Borsa Italiana","EUR"
"GIVN","GIVAUDAN SA","Materiais","Equity","32 505 744,90","0,23","32 505 744,90","11 250,00","2 889,41","Suíça","SIX Swiss Exchange","CHF"
"EXPN","EXPERIAN PLC","Bens Industriais","Equity","32 386 830,96","0,23","32 386 830,96","1 121 599,00","28,88","Reino Unido","London Stock Exchange","GBP"
"SLHN","SWISS LIFE HOLDING AG","Produtos financeiros","Equity","31 783 971,80","0,23","31 783 971,80","34 792,00","913,55","Suíça","SIX Swiss Exchange","CHF"
"VOD","VODAFONE GROUP PLC","Comunicação","Equity","30 015 263,82","0,21","30 015 263,82","23 588 301,00","1,27","Reino Unido","London Stock Exchange","GBP"
"SWED A","SWEDBANK","Produtos financeiros","Equity","29 734 723,10","0,21","29 734 723,10","1 052 014,00","28,26","Suécia","Nasdaq Omx Nordic","SEK"
"HEI","HEIDELBERG MATERIALS AG","Materiais","Equity","29 543 019,20","0,21","29 543 019,20","166 112,00","177,85","Alemanha","Xetra","EUR"
"VWS","VESTAS WIND SYSTEMS","Bens Industriais","Equity","29 275 405,22","0,21","29 275 405,22","1 244 034,00","23,53","Dinamarca","Omx Nordic Exchange Copenhagen A/S","DKK"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Produtos financeiros","Equity","29 186 018,35","0,21","29 186 018,35","1 862 553,00","15,67","Suécia","Nasdaq Omx Nordic","SEK"
"KBC","KBC GROEP","Produtos financeiros","Equity","29 185 341,80","0,21","29 185 341,80","283 078,00","103,10","Bélgica","Nyse Euronext - Euronext Brussels","EUR"
"SUNB","SUNBELT RENTALS HOLDINGS INC","Bens Industriais","Equity","28 661 573,01","0,20","28 661 573,01","521 943,00","54,91","Reino Unido","London Stock Exchange","GBP"
"DNB","DNB BANK","Produtos financeiros","Equity","28 477 764,74","0,20","28 477 764,74","1 103 011,00","25,82","Noruega","Oslo Bors Asa","NOK"
"LDO","LEONARDO FINMECCANICA SPA","Bens Industriais","Equity","28 039 696,12","0,20","28 039 696,12","495 226,00","56,62","Itália","Borsa Italiana","EUR"
"CBK","COMMERZBANK AG","Produtos financeiros","Equity","27 581 561,28","0,20","27 581 561,28","902 538,00","30,56","Alemanha","Xetra","EUR"
"HO","THALES SA","Bens Industriais","Equity","27 578 319,60","0,20","27 578 319,60","115 924,00","237,90","França","Nyse Euronext - Euronext Paris","EUR"
"ADS","ADIDAS N AG","Consumo discricionário","Equity","27 559 891,40","0,20","27 559 891,40","208 708,00","132,05","Alemanha","Xetra","EUR"
"BMW","BMW AG","Consumo discricionário","Equity","27 445 061,90","0,20","27 445 061,90","352 855,00","77,78","Alemanha","Xetra","EUR"
"SAMPO","SAMPO CLASS A","Produtos financeiros","Equity","27 314 473,13","0,19","27 314 473,13","3 010 191,00","9,07","Finlândia","Nasdaq Omx Helsinki Ltd.","EUR"
"AMS","AMADEUS IT GROUP SA","Consumo discricionário","Equity","26 675 325,00","0,19","26 675 325,00","548 875,00","48,60","Espanha","Bolsa De Madrid","EUR"
"SIKA","SIKA AG","Materiais","Equity","26 311 054,70","0,19","26 311 054,70","188 003,00","139,95","Suíça","SIX Swiss Exchange","CHF"
"ADYEN","ADYEN NV","Produtos financeiros","Equity","26 201 398,50","0,19","26 201 398,50","30 627,00","855,50","Holanda","Euronext Amsterdam","EUR"
"RYA","RYANAIR HOLDINGS PLC","Bens Industriais","Equity","25 956 536,15","0,19","25 956 536,15","1 054 715,00","24,61","Irlanda","Irish Stock Exchange - All Market","EUR"
"AV.","AVIVA PLC","Produtos financeiros","Equity","25 391 524,05","0,18","25 391 524,05","3 709 123,00","6,85","Reino Unido","London Stock Exchange","GBP"
"ATCO B","ATLAS COPCO CLASS B","Bens Industriais","Equity","24 960 759,37","0,18","24 960 759,37","1 909 480,00","13,07","Suécia","Nasdaq Omx Nordic","SEK"
"PGHN","PARTNERS GROUP HOLDING AG","Produtos financeiros","Equity","24 738 435,12","0,18","24 738 435,12","27 546,00","898,08","Suíça","SIX Swiss Exchange","CHF"
"VIE","VEOLIA ENVIRON. SA","Serviços públicos","Equity","24 547 823,16","0,18","24 547 823,16","770 007,00","31,88","França","Nyse Euronext - Euronext Paris","EUR"
"GEBN","GEBERIT AG","Bens Industriais","Equity","24 359 670,89","0,17","24 359 670,89","42 011,00","579,84","Suíça","SIX Swiss Exchange","CHF"
